Iteration,a,xi,b,fxi,Error
0,0,0.5,1,-0.293108726731377,1.0005
1,0.5,0.75,1,-0.118396393853478,0.25
2,0.75,0.875,1,-0.0368176907573804,0.125
3,0.875,0.9375,1,0.00063391615923869,0.0625
4,0.875,0.90625,0.9375,-0.0177722892268611,0.03125
5,0.90625,0.921875,0.9375,-0.00848658221176801,0.015625
6,0.921875,0.9296875,0.9375,-0.00390535862706409,0.0078125
7,0.9296875,0.93359375,0.9375,-0.00163043811700969,0.00390625
8,0.93359375,0.935546875,0.9375,-0.000496935315319524,0.001953125
9,0.935546875,0.9365234375,0.9375,6.88224449626462e-05,0.0009765625
