Iteration,xi,fxi,Error
0,1+0i,-1.1585290151921+0i,1.000005
1,-0.158529015192103+0i,0.317058030384207-0.408760631040979i,1.1585290151921
2,0.158529015192103-0.408760631040979i,0.239278818008873+0.490371671499166i,0.517311364769935
3,0.397807833200976+0.0816110404581873i,-0.202019728044549-0.111331546346945i,0.545636077396473
4,0.195788105156427-0.0297205058887577i,0.037989257431469+0.0291904150034036i,0.230665740263256
5,0.233777362587896-0.000530090885354072i,-0.00266887617327477+0.000574844119284536i,0.0479089136619205
6,0.231108486414621+4.47532339304637e-05i,0.00021618530742451-4.82358730167753e-05i,0.00273008164525345
7,0.231324671722045-3.48263908631156e-06i,-1.68840313040097e-05+3.75553107111836e-06i,0.000221501211265132
8,0.231307787690741+2.72891984806803e-07i,1.32262553803608e-06-2.94263721229042e-07i,1.72966622994414e-05
9,0.231309110316279-2.1371736422239e-08i,-1.03584663568856e-07+2.30455501228381e-08i,1.35496474179102e-06
