Iteration,xi,fxi,Error
0,1+0i,-91+0i,1.000005
0,1+0i,-93.3032109986464-0.178208986998545i,1.09334658939343
1,-0.0933465893934289+0i,-91.823383363944-1.66466328774144i,0.703015804506782
2,0.0800105076181132-0.681306493659094i,-94.7543594897028-4.1455797115148i,0.876373846428928
3,-0.788949099488587-0.567550966665444i,-101.587265418854-12.6521151785159i,0.880495880218402
4,-1.66582886729312-0.647268391966618i,-117.957790196829-42.5369482784141i,0.918743971208399
5,-2.57262390796206-0.794961448167644i,-109.493054704363-185.578554413171i,1.1549359650084
6,-3.64557003060734-1.22235319021506i,469.773085200438+250.620392418089i,2.06179051827247
7,-4.57439588519516-3.0630766004773i,-94.2321593022627-3.79095900696772i,4.60321684221546
8,-0.694575689255761-0.585860311245211i,-100.318991769398-11.520580862863i,0.885971192249902
9,-1.57772977689538-0.656456422909649i,-114.70095915737-37.7827510917789i,0.905725502584421
10,-2.4728262352261-0.794807484761773i,-114.490851446543-157.290069432804i,1.10825876338178
11,-3.51334196834497-1.17633663927638i,468.133672387748+28.8030167521474i,1.85386960634344
12,-4.51330223278162-2.73739781260424i,-87.4626861771388-1.96853059205452i,4.12103098143952
13,-0.446741536757339-2.06958013124584i,-82.2124576258322-3.97448020674804i,0.717110414263138
14,-1.16098497787855-2.13363989287493i,-68.9595287173662-8.13970728697797i,0.720502176932219
15,-1.87589495043833-2.22323407850458i,-42.3452891037119-12.7316064399603i,0.627138777548396
16,-2.49147812801075-2.34306895570962i,-11.2579119649963-9.12622712876068i,0.405140842349641
17,-2.86993371757537-2.48767348145854i,-0.166143189731528-1.21401336069442i,0.133318768829406
18,-2.96705858800665-2.57900066068738i,0.0077890971737844-0.00205068836866218i,0.0112745271511498
19,-2.96776091667398-2.59025329135425i,-3.03417735381117e-07+1.69420496298756e-07i,7.41113666350427e-05
20,-2.96768805304262-2.5902668333589i,-1.4210854715202e-14-7.105427357601e-15i,3.19754449397632e-09
