n,x_m,x_i,x_s,f_m,f_i,f_s,E
0,-2.41666666666667,1.5,-2.5,-0.0815972222222222,8.8125,-0.1875,1.000005
1,-2.38073394495413,1.5,-2.41666666666667,-0.0348613332211093,8.8125,-0.0815972222222222,0.0359327217125376
2,-2.36544265593561,1.5,-2.38073394495413,-0.0147769002091017,8.8125,-0.0348613332211093,0.0152912890185144
3,-2.35897188799251,1.5,-2.36544265593561,-0.00624262789654072,8.8125,-0.0147769002091017,0.00647076794310264
4,-2.35624019181127,1.5,-2.35897188799251,-0.00263351915147721,8.8125,-0.00624262789654072,0.00273169618123825
5,-2.35508814092336,1.5,-2.35624019181127,-0.00111031442893617,8.8125,-0.00263351915147721,0.00115205088791503
6,-2.35460248750382,1.5,-2.35508814092336,-0.000468000219754997,8.8125,-0.00111031442893617,0.000485653419539211
7,-2.35439779428229,1.5,-2.35460248750382,-0.000197242275394875,8.8125,-0.000468000219754997,0.000204693221530938
8,-2.35431152668789,1.5,-2.35439779428229,-8.31255458635729e-05,8.8125,-0.000197242275394875,8.62675943951174e-05
9,-2.35427517052024,1.5,-2.35431152668789,-3.50316685720159e-05,8.8125,-8.31255458635729e-05,3.63561676546276e-05
10,-2.35425984897089,1.5,-2.35427517052024,-1.47633081183732e-05,8.8125,-3.50316685720159e-05,1.53215493465808e-05
11,-2.35425339205964,1.5,-2.35425984897089,-6.22164302123695e-06,8.8125,-1.47633081183732e-05,6.45691125100711e-06
12,-2.35425067095079,1.5,-2.35425339205964,-2.62195890847968e-06,8.8125,-6.22164302123695e-06,2.72110885513044e-06
