Iteracion,x_1,x_2,x_3,Error
0,3.125,-3.046875,-5.654296875,5.654296875
1,4.248046875,-5.1171875,-5.53466796875,2.0703125
2,5.26123046875,-3.8916015625,-4.798583984375,1.2255859375
3,4.241943359375,-4.375,-5.28472900390625,1.019287109375
4,4.79888916015625,-4.20989990234375,-5.06000518798828,0.55694580078125
5,4.55646514892578,-4.26223754882812,-5.14889717102051,0.242424011230469
6,4.64978218078613,-4.24638748168945,-5.11676788330078,0.0933170318603516
7,4.61654663085938,-4.25104141235352,-5.12770891189575,0.0332355499267578
8,4.6277642250061,-4.24970507621765,-5.12413844466209,0.0112175941467285
9,4.62412461638451,-4.25008237361908,-5.1252668723464,0.00363960862159729
10,4.6252703294158,-4.24997724592686,-5.12491906061769,0.00114571303129196
11,4.62491819635034,-4.25000622868538,-5.12502412777394,0.000352133065462112
12,4.62502434384078,-4.24999830778688,-5.12499291042332,0.000106147490441799
13,4.62499285640661,-4.25000045681372,-5.12500205790275,3.14874341711402e-05
14,4.62500207140693,-4.24999987735646,-5.1249994088721,9.21500031836331e-06
15,4.62499940549606,-4.25000003277091,-5.1250001682638,2.66591086983681e-06
